zinc_id,smiles
ZINC000003981537,Fc1ccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccoc3)[nH]c2c1
ZINC000013472087,N#Cc1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1
ZINC000013679052,C[C@H](N)Cn1ncc2ccc(O)c(Cl)c21
ZINC000045261722,COc1ccc(NC(=O)Nc2ccc(OCCN3CCCCC3)c(-c3ccnn3C)c2)cc1
ZINC000116262036,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12
ZINC000000538183,NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000013475062,COc1cccc2c1N1CCN(C)C[C@@H]1c1ccccc1C2
ZINC000029038685,O=C(N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccco1
ZINC000029038686,O=C(N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccco1
ZINC000045253308,CCN(CC)CCCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1ccnn1C
ZINC000013471715,O=C1c2ccoc2CC[C@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1
ZINC000013471716,O=C1c2ccoc2CC[C@@H]1CCN1CCC(c2noc3cc(F)ccc23)CC1
ZINC000064539471,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(F)c21
ZINC000000009096,C[C@H](N)Cn1ncc2ccc(O)cc21
ZINC000045322570,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCSCC1
ZINC000028528902,C[C@@H]1CCN(C(=O)C2CCCCC2)c2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000028528903,C[C@H]1CCN(C(=O)C2CCCCC2)c2c(CCN3CCN(c4nsc5ccccc45)CC3)cccc21
ZINC000002007421,O=C(O)c1coc2cc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)ccc2c1=O
ZINC000003808341,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)sc3cc(CCCCN4CCOCC4)ccc32)CC1
ZINC000013487996,Nc1ccccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCS3
ZINC000013488021,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCCC3
ZINC000013527309,NCCc1c[nH]c2ccc3c(c12)CCCO3
ZINC000029126584,Fc1ccc(-c2nc(Cc3ccccc3)nc3c2CCNCC3)cc1
ZINC000035935042,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCCC1
ZINC000043068294,CN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1
